_id,escopo_autuacao,mes,ano,uf,amparo_legal,descricao_infracao,quantidade_autos,related_date_multas
6407641b305a576376e6f6bc,Evasão de Balança,NOVEMBRO,2022,SP,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,2402,NOVEMBRO/2022
6407641b305a576376e6f6d0,Excesso de Peso,NOVEMBRO,2022,RS,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 354/22 e 268/22 e alterações ,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,565,NOVEMBRO/2022
6407641b305a576376e6f6e4,CMT - Capacidade Máxima de Tração,DEZEMBRO,2022,RS,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 354/22 e 268/22 e alterações ,Transitar com o veículo excedendo a CMT acima de 1000 kg,3,DEZEMBRO/2022
6407641b305a576376e6f6fe,Excesso de Peso,DEZEMBRO,2022,RS,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 354/22 e 268/22 e alterações ,Transitar com o veículo com excesso de peso - PBT/PBTC,471,DEZEMBRO/2022
6407641b305a576376e6f58f,Excesso de Peso,ABRIL,2022,MG,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,281,ABRIL/2022
6407641b305a576376e6f5a2,CMT - Capacidade Máxima de Tração,MAIO,2022,RJ,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT em até 600 kg,1,MAIO/2022
6407641b305a576376e6f5ce,CMT - Capacidade Máxima de Tração,JUNHO,2022,RS,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT acima de 1000 kg,2,JUNHO/2022
6407641b305a576376e6f5d5,Evasão de Balança,JUNHO,2022,RJ,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,2191,JUNHO/2022
6407641b305a576376e6f5e9,Excesso de Peso,JUNHO,2022,RS,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,193,JUNHO/2022
6407641b305a576376e6f5ee,Excesso de Peso,JUNHO,2022,SP,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,167,JUNHO/2022
6407641b305a576376e6f5ff,Evasão de Balança,JULHO,2022,SP,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,539,JULHO/2022
6407641b305a576376e6f603,Excesso de Peso,JULHO,2022,ES,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,323,JULHO/2022
6407641b305a576376e6f608,Excesso de Peso,JULHO,2022,MG,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,292,JULHO/2022
6407641b305a576376e6f60d,Excesso de Peso,JULHO,2022,RJ,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,547,JULHO/2022
6407641b305a576376e6f62a,Excesso de Peso,AGOSTO,2022,BA,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 354/22 e 268/22 e alterações ,Transitar com o veículo com excesso de peso - PBT/PBTC,8,AGOSTO/2022
6407641b305a576376e6f62d,Excesso de Peso,AGOSTO,2022,ES,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 268/22 e alterações ,Transitar com o veículo com excesso de peso - PBT/PBTC,18,AGOSTO/2022
6407641b305a576376e6f62f,Excesso de Peso,AGOSTO,2022,ES,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 268/22 e alterações ,Transitar com o veículo com excesso de peso - Por Eixo,29,AGOSTO/2022
6407641b305a576376e6f645,Excesso de Peso,AGOSTO,2022,RJ,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 268/22 e alterações ,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,52,AGOSTO/2022
6407641b305a576376e6f64e,Excesso de Peso,AGOSTO,2022,RS,Lei 9503/97 Lei 10233/01 Res. CONTRAN nº 882/21 e alterações Portaria SENATRAN 268/22 e alterações ,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,3,AGOSTO/2022
6407641b305a576376e6f541,Excesso de Peso,FEVEREIRO,2022,GO,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,126,FEVEREIRO/2022
6407641b305a576376e6f563,Excesso de Peso,MARÇO,2022,ES,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,67,MARÇO/2022
6407641b305a576376e6f564,Excesso de Peso,MARÇO,2022,GO,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,128,MARÇO/2022
6407641b305a576376e6f56b,Excesso de Peso,MARÇO,2022,MT,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,78,MARÇO/2022
6407641b305a576376e6f575,Excesso de Peso,MARÇO,2022,SC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,607,MARÇO/2022
6407641b305a576376e6f578,Excesso de Peso,MARÇO,2022,SP,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,155,MARÇO/2022
6407641b305a576376e6f57d,CMT - Capacidade Máxima de Tração,ABRIL,2022,RJ,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT em até 600 kg,10,ABRIL/2022
6407641b305a576376e6f581,Evasão de Balança,ABRIL,2022,ES,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,36,ABRIL/2022
6407641b305a576376e6f582,Evasão de Balança,ABRIL,2022,GO,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,1249,ABRIL/2022
6407641b305a576376e6f5cc,CMT - Capacidade Máxima de Tração,JUNHO,2022,RJ,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT entre 601 e 1000 kg,5,JUNHO/2022
6407641b305a576376e6f5d3,Evasão de Balança,JUNHO,2022,MG,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,1164,JUNHO/2022
6407641b305a576376e6f5e6,Excesso de Peso,JUNHO,2022,RJ,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,803,JUNHO/2022
6407641b305a576376e6f5e7,Excesso de Peso,JUNHO,2022,RJ,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,1139,JUNHO/2022
6407641b305a576376e6f605,Excesso de Peso,JULHO,2022,GO,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,83,JULHO/2022
6407641b305a576376e6f609,Excesso de Peso,JULHO,2022,MG,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,1142,JULHO/2022
